mark_id,fewshot_acc
56fc6c2c,1.0
7bfff1d3,0.7
50273494,0.6
da44434a,1.0
08b69e1d,1.0
484a56bf,0.6
0f6e5cde,1.0
84b9c709,0.6
62745a75,0.8
feb9aef1,1.0
0a4e9932,1.0
ec575bbf,1.0
f8bf1679,0.8
74daa6bc,1.0
389587c9,1.0
ee8b7d4f,0.9
43abf22e,0.8
dc34c956,1.0
3bd27bfa,0.9333333333333333
f28a58e6,1.0
a9d0b3c4,0.6
2d913fef,1.0
1baf8ade,0.8
cc99d9a2,0.4
f8d1e298,0.6
8ce846b4,0.9
36ba3699,1.0
bc849253,0.8
850c413f,0.7
cda6fcbe,0.6
a6ad18bd,0.8
22a7ce96,1.0
cd19f760,0.8
41708f2f,1.0
e0c0ab87,1.0
594ec3f0,1.0
a90cd622,0.8
d0a6a147,1.0
ee1e932c,1.0
e3df7356,0.8
aa6e2e3a,1.0
37f3ff65,1.0
d6f447be,0.7
4e479e49,0.9
5211a83a,1.0
921d7080,1.0
13b52d9c,0.8
e46f7ecf,1.0
8da5aac2,0.8666666666666667
5f1348b9,1.0
ef471738,1.0
a8163d8d,0.6
4f023f8a,1.0
13690f37,1.0
e2711077,0.9
a57f66a8,1.0
68498a17,0.0
efee31a1,1.0
8218084a,0.8
86e8348b,1.0
41cfe7b6,0.4
fbbea505,0.9
e67f5d39,1.0
d5041ee5,0.8
40012278,0.8
59e58333,0.6
6bb181d9,0.6
4ad00dc6,1.0
387f4fea,1.0
3a92c71c,0.8
4c6292b3,1.0
8cc82be5,0.7
841377be,0.8
38c4d8e8,0.8
40d84c7b,1.0
fd567c64,0.8
787597ee,1.0
bc6e401c,0.6
399900d0,0.8
107eb3c7,0.8
2f412947,0.6
502a3def,0.8
dd7507a8,1.0
eb4fb780,0.6
1d0acb5f,1.0
290bb6f0,1.0
cc1f058a,0.8
57df26ef,1.0
7a87e7c4,1.0
